32 20
125 125 125 125 125 125 125 125 125 125 125 125 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 
125 125 125 125 125 125 125 125 125 125 125 125 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 
125 125 125 125 125 125 125 125 125 125 125 125 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 
125 125 125 125 125 125 125 125 125 125 125 125 126 126 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 
131 132 131 132 131 132 131 132 131 132 131 132 131 132 131 132 131 135 136 132 131 132 131 132 131 132 131 132 131 132 131 132 
129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 137 138 130 129 130 129 130 129 130 129 130 129 130 129 130 
128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 139 140 127 128 127 128 127 128 127 128 127 128 127 128 127 
125 125 125 125 130 129 130 129 130 129 130 129 126 126 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 
125 125 125 125 127 128 127 128 127 128 127 128 131 132 131 132 131 132 131 132 131 132 131 132 131 132 131 132 131 132 131 132 
125 125 125 125 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 
125 125 125 125 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 
125 125 125 125 125 125 125 125 130 129 130 129 126 126 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 
125 125 125 125 131 132 131 132 127 128 127 128 131 132 131 132 131 135 136 132 131 132 131 132 131 132 131 132 131 132 131 132 
125 125 125 125 129 130 129 130 129 130 129 130 129 130 129 130 129 137 138 130 129 130 129 130 129 130 129 130 129 130 129 130 
125 125 125 125 128 127 128 127 128 127 128 127 128 127 128 127 128 139 140 127 128 127 128 127 128 127 128 127 128 127 128 127 
125 125 125 125 130 129 130 129 130 129 130 129 126 126 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 
125 125 125 125 127 128 127 128 127 128 127 128 131 132 131 132 131 132 131 132 131 132 131 132 131 132 131 132 131 132 131 132 
125 125 125 125 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 
125 125 125 125 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 
125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 

41 
LADDER 192 64 3 0
LADDER 192 128 3 0
LADDER 192 192 3 0
LADDER 192 256 3 0
TOMB 272 16
WKEYDOOR 384 0 1
WNOKEYDOOR 384 128
WNOKEYDOOR 384 256
ENEMY FEET 448 80
ENEMY FEET 288 16
ENEMY FEET 320 144
ENEMY FEET 416 80
ENEMY FEET 448 208
ENEMY FEET 288 144
ENEMY FEET 288 272
ENEMY FEET 416 208
ENEMY FEET 320 272
ENEMY WITCH 160 272
ENEMY WITCH 352 208
ENEMY WITCH 352 144
ENEMY WITCH 352 80
ENEMY WITCH 352 16
ENEMY WITCH 416 16
ENEMY WITCH 416 80
ENEMY WITCH 416 144
ENEMY WITCH 416 208
ENEMY WITCH 416 272
ENEMY WITCH 96 144
ENEMY WITCH 288 16
ENEMY WITCH 288 80
ENEMY WITCH 288 144
ENEMY WITCH 288 208
ENEMY WITCH 288 272
ENEMY FEET 320 16
ENEMY WITCH 352 272
ENEMY WITCH 224 272
ENEMY WITCH 224 208
ENEMY WITCH 224 144
ENEMY WITCH 224 80
ENEMY WITCH 224 16
ENEMY WITCH 96 272
