32 20
127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 125 125 
129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 129 130 125 125 
128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 128 127 125 125 
125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 
131 132 131 132 131 135 136 132 131 132 131 132 131 132 131 132 131 135 136 132 131 132 131 132 131 132 131 132 131 132 125 125 
129 130 129 130 129 137 138 130 129 130 129 130 129 130 129 130 129 137 138 130 129 130 129 130 129 130 129 130 129 130 125 125 
128 127 128 127 128 139 140 127 128 127 128 127 128 127 128 127 128 139 140 127 128 127 128 127 128 127 128 127 128 127 125 125 
125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 
131 135 136 132 131 132 131 132 131 132 131 132 131 135 136 132 131 132 131 132 131 132 131 132 131 135 136 132 125 125 125 125 
129 137 138 130 129 130 129 130 129 130 129 130 129 137 138 130 129 130 129 130 129 130 129 130 129 137 138 130 125 125 125 125 
128 139 140 127 128 127 128 127 128 127 128 127 128 139 140 127 128 127 128 127 128 127 128 127 128 139 140 127 125 125 125 125 
125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 
131 132 131 132 131 135 136 132 131 132 131 132 131 132 131 132 131 135 136 132 131 132 131 132 131 132 131 132 131 132 125 125 
129 130 129 130 129 137 138 130 129 130 129 130 129 130 129 130 129 137 138 130 129 130 129 130 129 130 129 130 129 130 125 125 
128 127 128 127 128 139 140 127 128 127 128 127 128 127 128 127 128 139 140 127 128 127 128 127 128 127 128 127 128 127 125 125 
125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 
131 132 131 132 131 132 131 132 131 135 136 132 131 132 131 132 131 132 131 132 131 135 136 132 131 132 131 132 131 132 125 125 
129 130 129 130 129 130 129 130 129 137 138 130 129 130 129 130 129 130 129 130 129 137 138 130 129 130 129 130 129 130 125 125 
128 127 128 127 128 127 128 127 128 139 140 127 128 127 128 127 128 127 128 127 128 139 140 127 128 127 128 127 128 127 125 125 
125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 

27 
LADDER 336 0 3 0
TOMB 272 272
ENEMY WITCH 352 80
ENEMY WITCH 352 16
ENEMY WITCH 352 144
ENEMY WITCH 352 208
ENEMY WITCH 352 272
ENEMY WITCH 96 16
ENEMY WITCH 96 80
ENEMY WITCH 96 144
ENEMY WITCH 96 208
ENEMY WITCH 96 272
ENEMY WITCH 160 272
ENEMY WITCH 160 208
ENEMY WITCH 160 144
ENEMY WITCH 160 80
ENEMY WITCH 160 16
ENEMY WITCH 224 144
ENEMY WITCH 224 80
ENEMY WITCH 224 16
ENEMY WITCH 224 208
ENEMY WITCH 224 272
ENEMY WITCH 288 16
ENEMY WITCH 288 80
ENEMY WITCH 288 144
ENEMY WITCH 288 208
ENEMY WITCH 288 272
